CD_CLIENTE,CIDADE,DS_SEGMENTO,DS_SUBSEGMENTO,UF,VL_TOTAL_CONTRATO,DT_ASSINATURA_CONTRATO,MRR_12M,QTD_CONTRATACOES_12M,VLR_CONTRATACOES_12M,NPS_MEDIO
99958,JOINVILLE,SERVICOS,PROVEDOR SERVICOS,SC,"1633817,36581438",2016-04-07,,,,
T00053,RIODEJANEIRO,MANUFATURA,BENS DURAVEIS,RJ,"341,155636978792",2015-02-27,448.951788,1.0,4317.9500568851,9.0
99069,SAOPAULO,VAREJO,VAREJO,SP,"0,00420385736791976",2023-01-11,,,,
T00336,SAOPAULO,MANUFATURA,BENS DURAVEIS,SP,"87,0324590880428",2014-07-17,2501.36139,3.0,546.190372384343,8.75
T00018,SAOPAULO,SERVICOS,VIAGENS,SP,"0,420385736791976",2002-01-01,,,,
99999,SAOPAULO,TOTVS,TOTVS,SP,"0,00840771473583952",2007-05-03,,,,
T00145,SANTOANDRE,LOGISTICA,ATACADISTA E DISTRIBUIDOR,SP,"1383,0690740456",2015-05-29,222.549913,1.0,24.3403341602554,9.4
T00082,CAJAMAR,CONSTRUCAO E PROJETOS,ENGENHARIA & DESIGN,SP,"62,9569679419663",2023-12-27,772.966671,4.0,11436.1693798315,10.0
T00673,SAOBERNARDODOCAMPO,MANUFATURA,QUIMICA & RECICLAGEM,SP,"0,0336308589433581",2010-07-16,399.78675,1.0,6782.37315782334,8.5
CARAMU,ITUMBIARA,MANUFATURA,BENS DE CONSUMO,GO,"82940,8447118465",2022-06-17,2070.736708,,,
T00245,BARUERI,LOGISTICA,ATACADISTA E DISTRIBUIDOR,SP,"154,281565402655",2000-11-28,,,,7.0
T00151,SAOPAULO,EDUCACIONAL,EDUCACAO CONTINUADA,SP,"413,050005684956",2017-12-29,175.290512,,,
T00255,NOVAODESSA,MANUFATURA,BENS DE CONSUMO,SP,"0,0630578605187964",2013-01-28,688.874163,,,7.5
T01085,CAMPINAS,MANUFATURA,BENS DE CAPITAL,SP,"0,0336308589433581",2012-05-31,186.573018,1.0,171.517380611126,8.0
T00361,SAOPAULO,SERVICOS,PROVEDOR SERVICOS,SP,"222,682528636078",2021-10-14,41.8169,,,
T00538,CACHOEIRODEITAPEMIRIM,MANUFATURA,EXTRATIVISTA & BENEFICIAMENTO,ES,"15416,7935138",2015-07-10,1186.829461,,,9.333333333333334
T00292,FLORIANOPOLIS,SERVICOS,PROVEDOR SERVICOS,SC,"19,2746860319121",2012-12-20,181.294905,,,9.5
T00686,VINHEDO,MANUFATURA,QUIMICA & RECICLAGEM,SP,"12795,6590179005",2009-11-24,2981.30592,3.0,0.260639156811025,8.0
T00546,MOGIDASCRUZES,MANUFATURA,BENS DE CAPITAL,SP,"114,626578851068",1994-07-08,147.877167,,,
