CD_CLIENTE,cluster
99958,3
T00053,2
99069,0
T00336,2
T00018,3
99999,4
T00145,3
T00082,1
T00673,2
CARAMU,2
T00245,3
T00151,3
T00255,2
T01085,2
T00361,3
T00538,2
T00292,3
T00686,2
T00546,2
T00631,2
T00390,2
T01104,3
T00931,2
T00737,2
T00788,3
T01127,2
T00953,0
T01134,2
T01008,0
T00971,2
T00831,3
T01384,3
T01254,2
T01060,2
T01259,0
T01436,1
T01173,2
T01352,3
T01502,2
T01205,2
T01351,3
T01356,3
T01346,3
T01526,2
T01440,5
T01637,3
T01487,2
T01690,1
T01667,2
T01702,2
T01726,3
T01759,2
T01670,2
T01531,3
T01567,2
T01872,2
T01743,2
T01877,2
T01695,2
T01773,2
T02069,0
T01724,2
T01846,2
T01777,2
T02072,2
T02076,2
T01744,3
T01901,2
T02235,3
T02250,2
T02084,2
T02145,2
T02029,5
T02282,3
T01899,2
T02382,3
T02266,3
T02424,3
T02421,0
T02312,2
T02434,2
T02202,3
T02542,3
T02413,2
T02500,3
T02571,2
T02519,0
T02345,2
T02262,3
T02523,2
T02655,2
T02610,1
T02684,2
T02436,1
T02724,3
T02727,2
T02776,3
T02810,2
T02553,0
T02817,3
T02725,3
T02860,2
T02963,3
T03000,5
T02894,2
T02904,2
T03061,0
T03062,2
T02895,3
T02984,3
T03013,2
T03085,2
T02855,2
T03108,2
T03067,2
T03120,3
T03360,2
T03193,2
T03367,3
T03201,3
T03133,2
T03268,2
T03459,3
T03491,2
T03211,3
T03306,2
T03439,2
T03231,0
T03213,2
T03456,2
T03116,2
T03510,3
T03314,3
T03585,2
T03356,3
T03485,3
T03309,2
T03063,2
T03524,2
T03372,3
T03558,2
T03607,2
T03378,2
T03644,3
T03415,3
T03455,2
T03718,1
T03450,3
T03799,3
T03436,3
T03752,1
T03154,2
T03967,2
T03960,2
T03638,2
T04028,2
T03650,0
T03198,2
T04083,3
T03673,3
T03386,2
T04205,2
T03969,2
T03655,1
T03315,3
T04247,2
T04065,0
T03993,0
T03581,1
T03546,3
T04281,3
T03753,2
T04389,2
T04396,2
T04251,2
T04132,2
T04036,3
T04411,2
T04305,2
T04586,2
T04366,2
T03882,3
T04610,2
T04398,2
T04367,3
T04736,3
T04819,2
T04491,3
T04851,3
T04859,3
T04325,2
T04467,3
T04870,2
T05034,0
T04488,0
T04404,3
T04697,2
T05045,3
T04630,3
T05051,2
T05114,3
T05077,2
T05174,2
T04802,3
T05279,3
T04867,3
T04994,3
T05395,0
T05154,3
T05563,3
T05615,2
T05049,2
T05273,2
T05690,2
T04876,0
T04506,2
T05691,3
T05238,3
T05248,3
T05720,2
T05512,3
T05353,0
T05748,2
T05762,2
T04786,3
T05618,2
T05808,3
T05513,2
T05816,2
T05409,3
T05830,3
T05879,1
T05797,2
T05995,2
T05251,0
T05723,3
T05997,1
T06008,2
T05787,2
T06016,2
T05914,2
T06096,3
T05821,3
T05948,3
T05953,0
T05303,0
T06253,2
T05519,3
T06131,2
T05967,0
T06336,2
T05704,3
T06178,2
T05606,2
T06187,1
T05661,2
T06358,2
T06376,0
T05793,2
T06200,2
T06381,0
T06435,2
T06209,3
T06148,3
T06449,2
T05958,1
T06475,2
T06486,2
T06468,2
T06425,2
T06542,2
T05435,2
T05809,3
T05500,2
T05375,3
T06552,3
T06574,2
T06638,0
T06680,0
T05357,3
T06682,2
T06375,0
T06198,2
T06816,3
T06684,3
T07049,0
T06341,2
T06244,0
T06914,3
T06610,2
T06619,3
T07157,3
T06661,2
T07061,2
T06525,2
T06575,3
T06961,2
T06654,3
T07145,3
T07389,3
T07396,3
T07244,3
T06925,2
T07073,0
T07422,0
T06937,3
T07499,3
T05621,2
T07300,3
T07413,3
T06583,0
T07372,2
T06883,2
T07457,2
T07472,3
T07402,2
T07504,3
T07483,0
T06888,3
T07542,2
T07544,0
T07621,2
T07272,2
T07543,2
T07562,3
T07651,3
T07446,2
T07614,3
T07678,2
T07602,3
T07682,3
T07296,2
T07742,1
T07174,2
T07537,3
T07748,2
T07781,3
T07578,3
T07888,0
T07589,3
T07890,2
T07800,2
T07784,3
T07814,2
T07826,3
T07885,0
T08085,2
T07884,3
T07665,3
T08115,3
T07903,3
T07684,2
T08203,0
T08223,3
T08257,3
T07673,3
T07616,3
T07650,2
T07762,0
T08138,0
T08292,2
T07726,3
T07947,2
T08298,2
T07849,3
T08365,1
T08043,2
T08111,3
T08391,3
T08368,0
T08492,3
T08810,3
