CD_CLIENTE,cluster,cluster_label
99958,3,"Receita Alto, Satisfação Médio, Aquisição Alto"
T00053,2,"Receita Alto, Satisfação Alto, Aquisição Alto"
99069,0,"Receita Baixo, Satisfação Baixo, Aquisição Baixo"
T00336,2,"Receita Alto, Satisfação Alto, Aquisição Alto"
T00018,3,"Receita Alto, Satisfação Médio, Aquisição Alto"
99999,4,"Receita Médio, Satisfação Médio, Aquisição Médio"
T00145,3,"Receita Alto, Satisfação Médio, Aquisição Alto"
T00082,1,"Receita Médio, Satisfação Baixo, Aquisição Médio"
T00673,2,"Receita Alto, Satisfação Alto, Aquisição Alto"
CARAMU,2,"Receita Alto, Satisfação Alto, Aquisição Alto"
T00245,3,"Receita Alto, Satisfação Médio, Aquisição Alto"
T00151,3,"Receita Alto, Satisfação Médio, Aquisição Alto"
T00255,2,"Receita Alto, Satisfação Alto, Aquisição Alto"
T01085,2,"Receita Alto, Satisfação Alto, Aquisição Alto"
T00361,3,"Receita Alto, Satisfação Médio, Aquisição Alto"
T00538,2,"Receita Alto, Satisfação Alto, Aquisição Alto"
T00292,3,"Receita Alto, Satisfação Médio, Aquisição Alto"
T00686,2,"Receita Alto, Satisfação Alto, Aquisição Alto"
T00546,2,"Receita Alto, Satisfação Alto, Aquisição Alto"
T00631,2,"Receita Alto, Satisfação Alto, Aquisição Alto"
T00390,2,"Receita Alto, Satisfação Alto, Aquisição Alto"
T01104,3,"Receita Alto, Satisfação Médio, Aquisição Alto"
T00931,2,"Receita Alto, Satisfação Alto, Aquisição Alto"
T00737,2,"Receita Alto, Satisfação Alto, Aquisição Alto"
T00788,3,"Receita Alto, Satisfação Médio, Aquisição Alto"
T01127,2,"Receita Alto, Satisfação Alto, Aquisição Alto"
T00953,0,"Receita Baixo, Satisfação Baixo, Aquisição Baixo"
T01134,2,"Receita Alto, Satisfação Alto, Aquisição Alto"
T01008,0,"Receita Baixo, Satisfação Baixo, Aquisição Baixo"
T00971,2,"Receita Alto, Satisfação Alto, Aquisição Alto"
T00831,3,"Receita Alto, Satisfação Médio, Aquisição Alto"
T01384,3,"Receita Alto, Satisfação Médio, Aquisição Alto"
T01254,2,"Receita Alto, Satisfação Alto, Aquisição Alto"
T01060,2,"Receita Alto, Satisfação Alto, Aquisição Alto"
T01259,0,"Receita Baixo, Satisfação Baixo, Aquisição Baixo"
T01436,1,"Receita Médio, Satisfação Baixo, Aquisição Médio"
T01173,2,"Receita Alto, Satisfação Alto, Aquisição Alto"
T01352,3,"Receita Alto, Satisfação Médio, Aquisição Alto"
T01502,2,"Receita Alto, Satisfação Alto, Aquisição Alto"
T01205,2,"Receita Alto, Satisfação Alto, Aquisição Alto"
T01351,3,"Receita Alto, Satisfação Médio, Aquisição Alto"
T01356,3,"Receita Alto, Satisfação Médio, Aquisição Alto"
T01346,3,"Receita Alto, Satisfação Médio, Aquisição Alto"
T01526,2,"Receita Alto, Satisfação Alto, Aquisição Alto"
T01440,5,"Receita Baixo, Satisfação Alto, Aquisição Baixo"
T01637,3,"Receita Alto, Satisfação Médio, Aquisição Alto"
T01487,2,"Receita Alto, Satisfação Alto, Aquisição Alto"
T01690,1,"Receita Médio, Satisfação Baixo, Aquisição Médio"
T01667,2,"Receita Alto, Satisfação Alto, Aquisição Alto"
T01702,2,"Receita Alto, Satisfação Alto, Aquisição Alto"
T01726,3,"Receita Alto, Satisfação Médio, Aquisição Alto"
T01759,2,"Receita Alto, Satisfação Alto, Aquisição Alto"
T01670,2,"Receita Alto, Satisfação Alto, Aquisição Alto"
