cluster,DS_PROD,QTD
0,SMS USUARIO RETAGUARDA WT,7408
0,USUARIO RETAGUARDA WT,6383
0,TOTVS TEC USER,3243
0,SMS TOTVS TEC USER,3241
0,CONSINCO NF-E POR CNPJ SUBSC.,2947
0,TEF TOTVS CLOUD PDV PRINCIPAL,2935
0,CONSINCO MD-E POR CNPJ SUBSC.,2714
0,CONSINCO PDV SMS,2670
0,CONSINCO PDV CDU,2548
0,TEF TOTVS CLOUD PDV ADICIONAL,2533
0,CONSINCO NFC-E SUBSC. POR PDV,2487
0,LICENCA CNPJ VAREJO WT,2286
0,CONSINCO ERP BACKOFFICE SMS,2282
0,CONSINCO NFC-E CDU POR PDV,2255
0,CONSINCO NFC-E SMS POR PDV,2252
0,CONSINCO ERP BACKOFFICE CDU,2217
0,CONSINCO PDV SUBSC,2129
0,SMS LGT G. CAP HUMANO TRAD,1779
0,SMS SERVIDOR VAREJO WT,1779
0,CONCILIADOR DE CARTOES TOTVS,1776
0,CDU CORPORATIVO RB1,1558
0,CDU CORP TOTVS VAREJO RB1,1518
0,MNT SOFTWARE MISTERCHEF NET,1517
0,CONSINCO LOJA IDMOBILE SMS,1478
0,CONSINCO LOJA IDMOBILE CDU,1451
0,SMS USUARIO VENDEDOR,1446
0,CDU USUARIO VENDEDOR,1444
0,SMS FULL TOTVS TRAD,1226
0,CONS TEF MULTILOJA,1203
0,CONS TEF EXPRESS,1182
0,CONSINCO SELF-CHECKOUT SMS,1165
0,CONSINCO SELF-CHECKOUT CDU,1145
0,CDU FULL TOTVS TRAD,1142
0,CONSINCO SELF-CHECKOUT SUBSC,1140
0,USUARIO CHECK OUT AUTOSERVICO,1128
0,SMS USUARIO CHECK OUT VAR WT,1100
0,USUARIO CHECK OUT VAREJO WT,1094
0,CONSINCO NF-E POR CNPJ SMS,1079
0,CONSINCO ERP BACKOFFICE SUBSC,1025
0,SMS CHECK OUT AUTOSERVICO,1023
0,TOTVS CLOUD SETUP,1014
0,T. CLOUD WINTHOR SOB PROJETO,972
0,CONSINCO MÓDULO NF-E SMS,954
0,ADESAO TOTVS P,921
0,CONSINCO CT-E POR CNPJ SUBSC.,908
0,SMS SERVIDOR DISTRIBUIDOR WT,895
0,LICENCA CNPJ DISTRIBUIDOR WT,883
0,USUARIO RADIO FREQUENCIA WT,874
0,CDU CORPORATIVO RB2,869
0,CDU LGT G CAP HUMANO TRAD,831
0,PROG OPED ENT RDBMS MNT,809
0,CLOUDINT SETUP CLOUD,797
0,SMS CNPJ WINTHOR HOMECENTER,773
0,LICENCA DE CNPJ HOMECENTER,768
0,SMS USU RADIO FREQUENCIA WT,762
0,CLOUD EXCEDENTE TRAD,756
0,CLOUD EXCEDENTE NV INT,749
0,CONSINCO REINF POR CNPJ SUBSC.,748
0,CONSINCO LOJA IDMOBILE SUBSC,740
0,CONSINCO SITEF HOSPEDAGEM,701
0,CONSINCOTEFMULTILOJACNPJ SMS,699
0,ADD-ON WEBSERVICES INTERA,671
0,SMS TOTVS I TRAD,665
0,CDU TOTVS I TRAD,653
0,CDU LGT LOJA PDV TRAD,645
0,CLIENT NETWORKING MNT,635
0,CONSINCO MD-E POR CNPJ SMS,630
0,SMS LGT1 VENDA ASSISTIDA TRAD,622
0,CONSINCO MODULO NF-E SUBSC.,609
0,CONSINCO MÓDULO MD-E SUBSC.,592
0,CDU LGT VENDAS E FATURAM TRAD,585
0,INTERA RH COMPLETO,580
0,SMS LGT VENDAS E FATURAM TRAD,580
0,INTERA BACKOFFICE COMPLETO,570
0,CONSINCO MDF-E POR CNPJ SUBSC.,563
0,USUARIO RADIO FREQUENCIA WMS,559
0,SMS USU RADIO FREQUENCIA WMS,558
0,SMS USUARIO VENDEDOR VAREJO,556
0,USUARIO VENDEDOR VAREJO,555
0,ID FLUIG 101º AO 250º,546
0,CONSINCO REINF POR CNPJ SMS,539
0,CONSINCO NF-E POR CNPJ CDU,535
0,CONSINCO MODULO MD-E SMS,533
0,PROGRESS USER 11 SMS,527
0,CDU RMS VAREJO STORE T,522
0,ID FLUIG 251º AO 500º,516
0,PROGRESS USER 11 CDU,509
0,SMS LGT FINANCEIRO TRAD,495
0,CONSINCO MOD. COCKPITPDV CDU,492
0,LICENCA RADIO FREQUENCIA WT,490
0,SMS RADIO FREQUENCIA WT,490
0,CDU LGT FINANCEIRO TRAD,487
