CODIGO_ORGANIZACAO,QTD_CHAMADOS,CHAMADOS_ABERTOS,TEMPO_MEDIO_RES
T00018,2,0,0.0
T00053,326,0,0.0
T00082,261,0,0.0
T00145,54,0,0.0
T00151,68,0,0.0
T00245,4,0,0.0
T00255,13,0,0.0
T00292,1,0,0.0
T00336,157,0,0.0
T00361,112,0,0.0
T00390,72,0,0.0
T00538,381,0,0.0
T00546,145,0,0.0
T00631,120,0,0.0
T00673,106,0,0.0
T00686,62,0,0.0
T00737,86,0,0.0
T00788,131,0,0.0
T00831,3,0,0.0
T00931,8,0,0.0
T00953,3,0,0.0
T00971,120,0,0.0
T01008,40,0,0.0
T01060,41,0,0.0
T01085,27,0,0.0
T01104,108,0,0.0
T01127,49,0,0.0
T01134,68,0,0.0
T01173,53,0,0.0
T01205,294,0,0.0
T01254,257,0,0.0
T01259,655,0,0.0
T01346,3,0,0.0
T01351,103,0,0.0
T01356,42,0,0.0
T01384,71,0,0.0
T01436,82,0,0.0
T01440,159,0,0.0
T01487,58,0,0.0
T01502,865,0,0.0
T01526,14,0,0.0
T01531,14,0,0.0
T01567,70,0,0.0
T01667,105,0,0.0
T01670,19,0,0.0
T01690,128,0,0.0
T01695,27,0,0.0
T01702,163,0,0.0
T01724,5,0,0.0
T01726,109,0,0.0
T01743,55,0,0.0
T01744,8,0,0.0
T01759,13,0,0.0
T01777,33,0,0.0
T01846,7,0,0.0
T01872,85,0,0.0
T01877,362,0,0.0
T01899,91,0,0.0
T01901,41,0,0.0
T02029,320,0,0.0
T02069,28,0,0.0
T02072,196,0,0.0
T02076,47,0,0.0
T02084,155,0,0.0
T02145,490,0,0.0
T02235,15,0,0.0
T02250,1241,0,0.0
T02266,33,0,0.0
T02282,501,0,0.0
T02312,119,0,0.0
T02345,12,0,0.0
T02382,319,0,0.0
T02413,589,0,0.0
T02421,23,0,0.0
T02424,259,0,0.0
T02434,86,0,0.0
T02519,2,0,0.0
T02523,19,0,0.0
T02542,35,0,0.0
T02553,5,0,0.0
T02571,65,0,0.0
T02610,71,0,0.0
T02655,2,0,0.0
T02684,587,0,0.0
T02724,28,0,0.0
T02725,8,0,0.0
T02727,59,0,0.0
T02776,651,0,0.0
T02810,50,0,0.0
T02817,203,0,0.0
T02855,46,0,0.0
T02860,478,0,0.0
T02894,7,0,0.0
T02904,236,0,0.0
T02963,848,0,0.0
T02984,278,0,0.0
T03000,105,0,0.0
T03013,342,0,0.0
T03061,2762,0,0.0
T03062,738,0,0.0
T03063,6,0,0.0
T03067,310,0,0.0
T03085,17,0,0.0
T03108,750,0,0.0
T03116,59,0,0.0
T03120,1683,0,0.0
T03133,11,0,0.0
T03154,149,0,0.0
T03193,135,0,0.0
T03198,140,0,0.0
T03211,18,0,0.0
T03213,12,0,0.0
T03231,50,0,0.0
T03268,213,0,0.0
T03306,175,0,0.0
T03309,448,0,0.0
T03314,66,0,0.0
T03315,106,0,0.0
T03356,4,0,0.0
T03360,6,0,0.0
T03367,52,0,0.0
T03372,115,0,0.0
T03378,77,0,0.0
T03386,369,0,0.0
T03415,215,0,0.0
T03436,70,0,0.0
T03439,585,0,0.0
T03450,4,0,0.0
T03455,63,0,0.0
T03456,176,0,0.0
T03459,1098,0,0.0
T03485,112,0,0.0
T03491,39,0,0.0
T03510,241,0,0.0
T03524,79,0,0.0
T03546,58,0,0.0
T03558,299,0,0.0
T03581,647,0,0.0
T03585,860,0,0.0
T03607,36,0,0.0
T03638,77,0,0.0
T03644,238,0,0.0
T03650,147,0,0.0
T03655,43,0,0.0
T03673,16,0,0.0
T03718,56,0,0.0
T03752,95,0,0.0
T03753,47,0,0.0
T03799,400,0,0.0
T03882,5,0,0.0
T03960,118,0,0.0
T03967,211,0,0.0
T03969,236,0,0.0
T03993,71,0,0.0
T04028,839,0,0.0
T04036,81,0,0.0
T04065,594,0,0.0
T04083,31,0,0.0
T04132,89,0,0.0
T04205,28,0,0.0
T04247,840,0,0.0
T04251,187,0,0.0
T04281,8,0,0.0
T04305,64,0,0.0
T04325,20,0,0.0
T04366,47,0,0.0
T04367,4,0,0.0
T04389,2,0,0.0
T04396,76,0,0.0
T04398,245,0,0.0
T04404,5,0,0.0
T04411,302,0,0.0
T04467,414,0,0.0
T04491,251,0,0.0
T04506,10,0,0.0
T04586,33,0,0.0
T04610,21,0,0.0
T04630,7,0,0.0
T04697,57,0,0.0
T04736,2,0,0.0
T04802,50,0,0.0
T04819,72,0,0.0
T04851,209,0,0.0
T04859,120,0,0.0
T04867,12,0,0.0
T04870,106,0,0.0
T04876,36,0,0.0
T05034,573,0,0.0
T05045,86,0,0.0
T05049,75,0,0.0
T05051,14,0,0.0
T05077,142,0,0.0
T05114,51,0,0.0
T05154,23,0,0.0
T05174,154,0,0.0
T05238,9,0,0.0
T05248,10,0,0.0
T05251,3,0,0.0
T05273,659,0,0.0
T05279,3,0,0.0
T05353,43,0,0.0
T05357,176,0,0.0
T05395,111,0,0.0
T05409,204,0,0.0
T05435,68,0,0.0
T05500,63,0,0.0
T05512,48,0,0.0
T05513,23,0,0.0
T05519,84,0,0.0
T05563,100,0,0.0
T05606,148,0,0.0
T05615,47,0,0.0
T05618,66,0,0.0
T05621,4,0,0.0
T05661,93,0,0.0
T05690,146,0,0.0
T05691,593,0,0.0
T05704,21,0,0.0
T05720,157,0,0.0
T05723,367,0,0.0
T05748,25,0,0.0
T05762,21,0,0.0
T05787,29,0,0.0
T05793,112,0,0.0
T05797,134,0,0.0
T05808,79,0,0.0
T05809,64,0,0.0
T05816,174,0,0.0
T05821,207,0,0.0
T05830,86,0,0.0
T05879,344,0,0.0
T05914,361,0,0.0
T05948,177,0,0.0
T05953,417,0,0.0
T05958,31,0,0.0
T05967,997,0,0.0
T05995,90,0,0.0
T05997,195,0,0.0
T06008,63,0,0.0
T06016,221,0,0.0
T06096,47,0,0.0
T06131,203,0,0.0
T06148,14,0,0.0
T06178,316,0,0.0
T06187,58,0,0.0
T06198,16,0,0.0
T06200,56,0,0.0
T06209,354,0,0.0
T06253,40,0,0.0
T06336,52,0,0.0
T06341,7,0,0.0
T06358,5,0,0.0
T06375,46,0,0.0
T06381,53,0,0.0
T06425,111,0,0.0
T06435,11,0,0.0
T06449,459,0,0.0
T06468,481,0,0.0
T06475,250,0,0.0
T06486,9,0,0.0
T06525,146,0,0.0
T06542,87,0,0.0
T06552,299,0,0.0
T06575,44,0,0.0
T06610,45,0,0.0
T06619,234,0,0.0
T06638,144,0,0.0
T06654,35,0,0.0
T06661,65,0,0.0
T06682,549,0,0.0
T06684,58,0,0.0
T06816,161,0,0.0
T06883,41,0,0.0
T06888,11,0,0.0
T06914,31,0,0.0
T06925,154,0,0.0
T06937,367,0,0.0
T06961,118,0,0.0
T07049,303,0,0.0
T07073,99,0,0.0
T07157,2950,0,0.0
T07174,35,0,0.0
T07244,488,0,0.0
T07272,100,0,0.0
T07296,34,0,0.0
T07300,18,0,0.0
T07389,13,0,0.0
T07396,218,0,0.0
T07402,5,0,0.0
T07413,59,0,0.0
T07422,71,0,0.0
T07446,4,0,0.0
T07457,39,0,0.0
T07472,167,0,0.0
T07483,96,0,0.0
T07499,884,0,0.0
T07504,7,0,0.0
T07537,44,0,0.0
T07543,57,0,0.0
T07544,1,0,0.0
T07562,23,0,0.0
T07578,81,0,0.0
T07589,31,0,0.0
T07602,101,0,0.0
T07614,102,0,0.0
T07616,21,0,0.0
T07621,93,0,0.0
T07650,511,0,0.0
T07651,72,0,0.0
T07654,10,0,0.0
T07665,37,0,0.0
T07673,102,0,0.0
T07677,48,0,0.0
T07678,8,0,0.0
T07682,175,0,0.0
T07684,847,0,0.0
T07726,38,0,0.0
T07742,72,0,0.0
T07748,37,0,0.0
T07762,103,0,0.0
T07781,96,0,0.0
T07784,35,0,0.0
T07800,254,0,0.0
T07810,7,0,0.0
T07814,46,0,0.0
T07826,91,0,0.0
T07849,134,0,0.0
T07880,3,0,0.0
T07884,340,0,0.0
T07885,23,0,0.0
T07888,6,0,0.0
T07890,111,0,0.0
T07912,518,0,0.0
T07947,43,0,0.0
T07984,85,0,0.0
T08043,143,0,0.0
T08085,150,0,0.0
T08111,121,0,0.0
T08115,79,0,0.0
T08138,4,0,0.0
T08223,190,0,0.0
T08225,241,0,0.0
T08245,163,0,0.0
T08257,1019,0,0.0
T08292,89,0,0.0
T08298,23,0,0.0
T08322,29,0,0.0
