CLIENTE,MRR_12M,CD_CLIENTE,QTD_CONTRATACOES_12M,VLR_CONTRATACOES_12M
T03360,485.24525,T03360,,
T01872,287.070309,T01872,2.0,0.0084077147358395
T01899,628.717296,T01899,,
T01670,207.503636,T01670,2.0,2934.85996355266
T02817,890.027855,T02817,2.0,4207.2204538141
T00788,671.421159,T00788,,
T00931,306.840149,T00931,,
T04867,17.536157,T04867,,
T02413,117.362319,T02413,,
T01356,699.314675,T01356,,
T01254,438.545686,T01254,1.0,0.0420385736791976
T02776,2730.543276,T02776,2.0,4043.73664463306
T00336,2501.36139,T00336,3.0,546.190372384343
T00673,399.78675,T00673,1.0,6782.37315782334
T00082,772.966671,T00082,4.0,11436.1693798315
T02523,731.220243,T02523,2.0,0.0084077147358395
T05435,2247.749085,T05435,,
T00292,181.294905,T00292,,
T02076,656.081455,T02076,1.0,0.0042038573679197
T00546,147.877167,T00546,,
CARAMU,2070.736708,CARAMU,,
T03378,2035.830738,T03378,2.0,1302.7796021757
T01008,3024.915438,T01008,,
T03524,261.81542,T03524,,
T02553,2319.282222,T02553,2.0,5841.4700055929
T01205,746.432901,T01205,,
T02434,1060.076484,T02434,1.0,13074.7194776977
T00151,175.290512,T00151,,
T01440,273.288823,T01440,1.0,117.926606884885
T01759,917.30645,T01759,,
T03268,1191.057421,T03268,,
T00686,2981.30592,T00686,3.0,0.260639156811025
T01901,885.21165,T01901,2.0,0.016815429471679
T00390,2950.072429,T00390,,
T01384,2994.304206,T01384,2.0,2134.9752067291
T01526,188.544604,T01526,,
T00971,449.457622,T00971,1.0,33.1432114886794
T02963,1374.245237,T02963,9.0,93696.1699639418
T03650,443.675753,T03650,,
T01346,470.222816,T01346,,
T00538,1186.829461,T00538,,
T02725,407.17948,T02725,,
T04870,999.581198,T04870,3.0,398.727463632453
T02727,358.468433,T02727,,
T01487,852.942941,T01487,2.0,0.0084077147358395
T02424,317.682081,T02424,,
T01846,749.130844,T01846,,
T03491,4333.035165,T03491,1.0,6332.95978590587
T05049,640.229334,T05049,2.0,7990.45246507191
T05809,718.931569,T05809,,
T03459,2212.520134,T03459,4.0,1033.37960660993
T01173,621.733492,T01173,,
T00631,307.979817,T00631,,
T00053,448.951788,T00053,1.0,4317.9500568851
T01060,260.956643,T01060,,
T03213,99.721501,T03213,,
